ID Posla;Vrsta najemnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena najemnina;Vključenost obratovalnih stroškov v najemnino;Vključenost DDV;Stopnja DDV;Datum začetka najema;Datum prenehanja najema;Čas najema;Trajanje najema;Datum zaključka najema /Datum predčasne prekinitve najema;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
36443;1;14.04.2017;20.05.2009;705,83;1;1;2;01.06.2009;01.06.2016;1;84;01.06.2016;;0;14.04.2017;14.04.2017;1;4
82762;1;12.10.2017;31.01.2014;100;0;0;;01.02.2014;31.01.2015;1;12;31.01.2015;V letu 2013 oddano 6 mesecev ( Januar,   Julij-avgust,  oktober-december)      po treh različnih najemnikih.;0;12.10.2017;12.10.2017;1;4
148231;5;09.02.2017;28.05.2014;100,36;1;0;;01.06.2014;;2;;04.10.2019;Razlog predcasnega zakljucka : Izselitev iz stanovanja.;;17.10.2019;09.02.2017;1;4
181882;1;09.02.2017;01.01.2015;3206,6;0;0;;01.01.2015;31.12.2018;1;48;31.12.2018;;;30.07.2019;09.02.2017;1;4
251094;1;01.06.2017;01.01.2016;30;0;0;;01.01.2016;15.12.2016;1;12;15.12.2016;;0;30.07.2019;01.06.2017;1;4
252093;1;02.02.2017;01.02.2016;250;0;1;4;01.02.2016;31.12.2016;1;11;31.12.2016;ODPOVED NAJEMNIKA;1;30.07.2019;02.02.2017;1;4
275142;1;22.03.2017;31.05.2016;1900;1;1;4;01.06.2016;28.02.2017;1;9;28.02.2017;;0;30.07.2019;22.03.2017;1;4
275924;1;05.01.2017;01.10.2013;200;1;0;;01.10.2013;;2;;;;0;05.01.2017;05.01.2017;1;4
286020;1;30.05.2017;28.09.2016;125;1;0;;28.09.2016;;2;;31.07.2017;Razlog predčasnega zaključka : ODPOVED  NAJEMNE POGODBE;;30.07.2019;30.05.2017;1;4
287196;1;06.07.2017;06.10.2016;750;0;0;;01.11.2016;30.09.2021;1;59;30.09.2021;;0;01.10.2021;06.07.2017;1;1
293571;1;12.11.2017;01.11.2016;186;1;0;;01.11.2016;30.10.2018;1;24;29.10.2018;OBRATOVALNI STROŠKI NISO ZAJETI V  ZNESKU NAJEMNINE, PREDSTAVLJAJO VARIABILNI DEL NAJEMNINE.;0;30.07.2019;12.11.2017;1;4
294922;1;04.01.2017;01.01.2017;200;1;0;;01.01.2017;30.06.2017;1;6;30.06.2017;;;12.07.2021;04.01.2017;1;4
298375;1;09.02.2017;09.12.2016;350;0;0;;09.12.2016;08.12.2017;1;12;08.12.2017;;0;30.07.2019;09.02.2017;1;4
298634;1;09.01.2017;15.12.2016;613,9;0;1;4;01.01.2017;;2;;31.07.2018;enomesečni odpovedni rokRazlog predčasnega zaključka : Zaradi statusnega preoblikovanja - oddelitev;0;30.07.2019;09.01.2017;1;4
298643;1;09.01.2017;01.12.2016;5314,26;0;1;4;01.12.2016;28.02.2017;1;3;28.02.2017;;0;30.07.2019;09.01.2017;1;4
298936;1;05.01.2017;30.12.2016;500;0;0;;01.01.2017;30.11.2017;1;11;30.11.2017;;0;30.07.2019;05.01.2017;1;4
299119;1;01.01.2017;30.12.2016;450;0;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;01.01.2017;2;4
299142;1;03.01.2017;28.12.2016;310;1;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;03.01.2017;1;4
299153;1;03.01.2017;14.12.2016;3100;0;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;03.01.2017;2;4
299173;4;03.01.2017;13.07.2015;164,11;0;0;;13.07.2015;;2;;;;;30.07.2019;03.01.2017;1;4
299176;4;03.01.2017;23.12.2016;95,26;0;0;;23.12.2016;;2;;;;;30.07.2019;03.01.2017;1;4
299189;4;03.01.2017;27.11.2014;167,91;0;0;;27.11.2014;;2;;;;;03.01.2017;03.01.2017;1;4
299191;4;03.01.2017;01.12.2016;248,19;0;0;;01.12.2016;;2;;;;;30.07.2019;03.01.2017;1;4
299192;1;03.01.2017;14.02.2016;200;0;0;;14.02.2016;;2;;;;0;30.07.2019;03.01.2017;1;4
299200;1;03.01.2017;01.02.2016;130;0;0;;01.02.2016;01.02.2017;1;12;31.12.2016;;;12.07.2021;03.01.2017;1;4
299212;2;03.01.2017;28.07.2016;3800;1;0;;01.08.2016;31.07.2017;1;12;31.07.2017;;0;12.07.2021;03.01.2017;1;4
299225;1;03.01.2017;02.01.2017;190;0;0;;02.01.2017;31.12.2017;1;12;30.12.2017;;0;12.07.2021;03.01.2017;1;4
299231;1;03.01.2017;10.12.2016;400;0;0;;10.12.2016;20.10.2017;1;11;20.10.2017;;0;30.07.2019;03.01.2017;1;4
299237;1;03.01.2017;05.12.2016;270;1;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;03.01.2017;1;4
299243;1;03.01.2017;29.12.2016;450;0;0;;01.01.2017;30.06.2017;1;6;30.06.2017;;0;12.07.2021;03.01.2017;1;4
299246;1;03.01.2017;18.04.2016;150;0;0;;18.04.2016;;2;;;;0;12.07.2021;03.01.2017;1;4
299254;1;03.01.2017;30.09.2016;200;0;0;;01.10.2016;31.03.2017;1;6;31.03.2017;;0;12.07.2021;03.01.2017;1;4
299255;1;03.01.2017;15.11.2016;518,82;1;1;4;01.01.2017;31.12.2017;1;12;31.12.2017;;1;30.07.2019;03.01.2017;2;4
299259;1;03.01.2017;01.01.2017;80;0;0;;01.01.2017;01.07.2017;1;6;01.07.2017;;0;12.07.2021;03.01.2017;2;4
299273;1;03.01.2017;24.12.2016;50;0;0;;24.12.2016;24.12.2017;1;12;31.10.2017;;;30.07.2019;03.01.2017;2;4
299276;1;03.01.2017;15.12.2016;50;0;0;;15.12.2016;15.02.2017;1;2;14.02.2017;;0;30.07.2019;03.01.2017;2;4
299280;1;03.01.2017;24.11.2016;150;0;0;;24.11.2016;;2;;01.04.2019;Razlog predčasnega zaključka : PREKINITEV NAJEMNE POGODBE;0;30.07.2019;03.01.2017;2;4
299291;1;04.01.2017;15.10.2016;180;0;0;;15.10.2016;31.05.2017;1;8;30.04.2017;Razlog predčasnega zaključka : PrekinitevRazlog predčasnega zaključka : Prekinitev;0;12.07.2021;04.01.2017;1;4
299293;1;04.01.2017;29.12.2016;350;0;0;;01.01.2017;01.01.2018;1;12;01.01.2018;;0;12.07.2021;04.01.2017;1;4
299296;1;04.01.2017;07.11.2016;100;0;0;;07.11.2016;;2;;;;0;12.07.2021;04.01.2017;1;4
299297;1;04.01.2017;01.09.2016;60;0;0;;01.09.2016;;2;;30.12.2017;041 894 009Razlog predčasnega zaključka : ni;0;12.07.2021;04.01.2017;1;4
299310;1;04.01.2017;27.06.2016;210;0;0;;27.06.2016;27.05.2017;1;11;27.05.2017;sonja@dentartes.si;;12.07.2021;04.01.2017;1;4
299311;1;04.01.2017;01.10.2009;100;0;0;;01.10.2009;01.07.2017;1;93;01.07.2017;;0;01.07.2017;04.01.2017;1;4
299312;5;04.01.2017;28.11.2016;50,23;0;0;;01.12.2016;30.11.2017;1;12;30.11.2017;;0;30.07.2019;04.01.2017;1;4
299322;1;04.01.2017;15.12.2015;200;0;0;;15.12.2015;31.12.2016;1;13;31.12.2016;;0;12.07.2021;04.01.2017;2;4
299324;1;04.01.2017;21.12.2016;50;0;0;;21.12.2016;21.11.2017;1;11;21.11.2017;;0;12.07.2021;04.01.2017;1;4
299328;1;04.01.2017;01.01.2017;100;0;0;;01.01.2017;31.12.2017;1;12;31.10.2017;Razlog predčasnega zaključka : Prekinitev;0;30.07.2019;04.01.2017;1;4
299330;1;04.01.2017;13.12.2016;413,5;0;0;;01.02.2017;31.01.2022;1;60;;Oproščeno DDV po 44. členu ZDDV-1;0;30.07.2019;04.01.2017;1;4
299341;1;05.01.2017;16.12.2016;250;0;0;;01.01.2017;31.12.2017;1;12;31.12.2017;;0;30.07.2019;05.01.2017;1;4
299359;1;04.01.2017;01.12.2016;227,2;0;0;;16.12.2016;;2;;;;0;30.07.2019;04.01.2017;1;4
